vorname;anzahl
Milli;1
Million;1
Milly;1
Milou;1
Mimi;3
Mimmi;1
Mina;10
Mina;1
Minel;1
Ming;1
Minh;1
Minna;1
Minou;2
Minu;1
Mira;27
Miracle;1
Miral;1
Miranda;1
Miray;5
Miray-Nayla;1
Miray-Nur;1
Mirella;1
Miriam;4
Mirjam;1
Mirjana;1
Mirka;1
Mirna;1
Mirveta;1
Mirxhivone;1
Miyu;1
Miyuki;1
Mizuki;1
Moana;1
Moe;1
Mohamad;1
Mohamed;2
Momo;1
Mona;3
Monifa;1
Monika;6
Monique;3
Morgan;1
Morgane;1
Morrighan;1
Moustafa;1
Muddassir;1
Mukhamedovna;1
Munachi;1
Musaevna;1
Mutesi;1
Muzaffarovna;1
Myla;1
Myriam;1
Naa;1
Nada;2
Nadia;1
Naemi;2
Nafas;1
Nahla;1
Naida;1
Naila;2
Naima;1
Naina;1
Naira;1
Nalia;1
Nami;1
Naminata;1
Nanyongo;1
Naomi;3
Naomi-Zoé;1
Nas;1
Nasila;1
Nastasia;1
Nastia;1
Natali;1
Natalia;2
Natalia-Alina;1
Natalie;3
Natalina;1
Naya;2
Nayla;3
Naz;2
Nazlija;1
Ndeye-Anna;1
Nedelcheva;1
Neele;2
Nefeli;2
Negin;1
Nela;3
Nele;15
Nelia;1
Neroz;1
Nessrin;1
Neva;1
Nevada;1
Nevia;1
Nevin;1
Neyla;1
Ngọc;1
Ngoc;1
Nia;2
Niah;1
Niamh;1
Niaz;1
Nicole;5
Nicolealessia;1
Nidhan;1
Nihal;2
Nihan;2
Nika;2
Nike;2
Nikita;1
Nikole;1
Nikolette;1
Nil;2
Nila;2
Nina;2
Nirmin;1
Nisa;4
Nisanur;1
Nissrine;3
Nitya;1
Niusha;1
Nnkem;1
Noa;3
Noëlle;1
Noéla;1
Noah;1
Noela;1
Noella;1
Noemi;5
Noemie;1
Noha;1
Nola;2
Nora;18
Norah;1
Nour;4
Noura;1
Nova;2
Novalee;1
Novalie;1
Nozomi;1
Nur;6
Nura;1
Nuria;1
Nury;1
Nyiramatama;1
Nyssa;1
Nzumba;1
Ohemaa;1
Olivia;14
Orchan;1
Orphelia;1
Orselda;1
Osarowenyeke;1
Osasenaga;1
Osei;1
Osemudiamen;1
Othman;1
Oumnia;1
Ourania;1
Palina;4
Pardis;1
Patricia;2
Patrizia;1
Paula;23
Paulin;1
Paulina;23
Pauline;23
Paulsdóttir;1
Penda;1
Penelope;1
Peppa;1
Petronella;1
Pheline;2
Philea;1
Philin;1
Philina;1
Philine;5
Philioema;1
Philipa;1
Philippa;15
Phuong;1
Pia;11
Pina;3
Polina;2
Polyxeni;1
Prisca;1
Pritam;1
Priya;1
Profira;1
Qi;1
Qixin;1
Quinn;3
Rabia;1
Rabiya;1
Rachel;2
Raghavi;1
Rahaf;1
Rahel;2
Raisa;2
Rallia;1
Rani;1
Rania;6
Ranja;1
Ranva;1
Ranya;1
Raphaela;2
Raruka;1
Rayhana;1
Raysa;1
Rebeca;2
Rebecca;8
Rebecca-Stefanie;1
Regina;4
Rehmat;1
Rena;1
Renée;1
Renate;1
Resmija;1
Retaj;1
Reza;1
Rhea;1
Rhein;1
Rhita;1
Ria;2
Ridwaan;1
Rihanna;1
Riko;1
Riley;2
Rima;1
Rimas;1
Rina;1
Rinad;1
Rinrada;1
Rita;2
Ritaj;1
Rital;2
Riya;1
Roaslie;1
Robyne;1
Rodayna;1
Rodriga;1
Romaissa;1
Romanìvna;1
Romi;4
Romy;16
Ronika;1
Ronja;5
Ronya;1
Roqia;1
Roqye;1
Rosa;11
Rosalie;7
Rose;10
Rosha;1
Rosi;1
Roslen;1
Roslin;1
Roumaissae;1
Ruža;1
Ruby;1
Ruhana;1
Ruixi;1
Rukajja;1
Rukaya;1
Rumaisa;1
Ruo;1
Ruohan;1
Ruth;2
Ruyi;1
Süheda;1
Sümeya;1
Sabina;1
Sabrija;1
Sabrina;1
Sadhana;1
Safa;1
Safaa;1
Safae;1
Safia;4
Safiya;2
Safiyya;2
Sahar;1
Sahra;1
Saja;1
Sakija;1
Sakura;1
Sakyi;1
Salimatou;1
Salina;1
Sally;1
Salma;1
Salome;2
Salsabil;1
Samantha;1
Samar;2
Samera;1
Samina;1
Samira;2
Samiya;1
Sana;2
Sandra;2
Sanja;2
Sannche;1
Sanvi;1
Sara;18
Sara-Evelyn;1
Sarah;20
Sarahfina;1
Saran;1
Saranda;1
Sarina;1
Saroya;1
Saya;2
Sayime;1
Scarlett;1
Schan;1
Schems;1
Sehajpreet;1
Seher;1
Selena;2
Selin;2
Selina;3
Selini;1
Selma;7
Selvinaze;1
Sema;1
Semra;1
Sena;3
Senta;1
Serra;1
Serwaa;1
Seryn;1
Sevgi;1
Sevin;1
Seycamal;1
Seyede;1
Shadia;1
Shaha;1
Shahad;1
Shahnsy;1
Shaima;1
Sham;1
Shantel;1
Shanvi;1
Sharkhanovna;1
Sharon;1
Sherin;1
Sherry;1
Sherwan;1
Shewa;1
Shiraz;1
Shirin;2
Shitong;1
Shnissa;1
Shriya;1
Siân;1
Sidra;2
Sieglinde;1
Siena;1
Silke;1
Silwana;1
Silya;1
Simay;1
Simona;1
Simone;1
Sina;2
Sirin;1
Sity;1
Siya;1
Sladjana;1
Smilla;4
Snezana;1
Soe;1
Sofía;1
Sofhia;1
Sofia;44
Sofie;7
Sofija;1
Soha;1
Sohaila;1
Sol;2
Sola;1
Solana;1
Solea;2
Solin;1
Sonia;2
Sophia;67
Sophie;144
Sophie-Marie;1
Sophie-Michelle;1
Sora;1
Souad;2
Soujoud;1
Soumaya;1
Souri;1
Sowmiya;1
Stéphanie;1
Stana;1
Stefania;2
Stefanie;3
Stefanova;1
Stella;15
Stephanie;3
Stephene;1
Stine;1
Su;10
Subira;1
Succes;1
Sue;3
Suheila;1
Suhrobçonovna;1
Suka;1
Sukhmani;1
Sumeja;1
Summer;2
Sundus;1
Susana;2
Susanne;3
Suse;1
Suzan;1
Svea;2
Syeda;1
Sylla;1
Sylvia;2
Sylvie;1
Sylwia;1
Tabea;2
Tadjia;1
Taiba;1
Taissja;1
Talat;1
Talia;4
Taliah;1
Taliya;1
Taliyah;1
Talya;1
Talyn;1
Tamina;2
Tanja;3
Tano;1
Tara;3
Tasnim;6
Tata;1
Tatiana;1
Tayyibah;1
Teresa;4
Tess;3
Tessa;3
Thanjira;1
Thea;14
Theda;1
Theodora;3
Theresa;20
Therese;5
Theresia;4
Thessa;1
Thora;1
Thy;1
Tian;1
Tiana;3
Tianle;1
Tiantian;1
Tiara-Coco;1
Tihomirova;1
Tijana;2
Tilda;10
Tilia-Lotta;1
Tina;2
Tiziana;1
Tojiddinovna;1
Toni;2
Toshani;1
Tram;1
Trinity;2
Troja;1
Tsambika;1
Tsubasa;1
Tuana;1
Tue;1
Urealla;1
Ursula;4
Véronique;1
Vaiana;1
Valérie;1
Valbona;1
Valentina;17
Valentine;1
Valeria;3
Valerie;3
Valerina;1
Vanessa;5
Vasiliki;3
Vayana;1
Venicia;1
Vera;5
Verena;3
Veronika;4
Vesna;2
Victoria;28
Victoria-Nel;1
Victory;1
Viktoria;22
Villö;1
Viola;2
Viola;1
Violetta;1
Virginia;2
Vironika;1
Vittoria;2
Vivien;4
Vivienne;1
Vladislava;1
Volodymyrivna;1
Von;1
Wanda;3
Wassila;1
Weineshet;1
Wian;1
